state,name,address,suburb,postcode,lat,lng,first_date
NSW,Costco Casula,"20 Parkersfarm Place, Casula NSW 2170",Casula,2170,,,2016-12-05
NSW,Costco Marsden Park,"10 Langford Drive, MARSDEN PARK NSW 2765",MARSDEN PARK,2765,,,2017-07-19
NSW,Costco Casula (Members only),"20 Parkersfarm Place, Casula NSW 2170",Casula,2170,,,2022-05-02
NSW,Costco Lake Macquarie (Members only),"1 CRESSY RD, BOOLAROO NSW 2284",BOOLAROO,2284,,,2022-05-02
NSW,Costco Marsden Park (Members only),"10 Langford Drive, MARSDEN PARK NSW 2765",MARSDEN PARK,2765,,,2022-05-02
NSW,Costco Canberra Airport (Members Only),"39-41 Mustang Avenue, Canberra Airport ACT 2609",Canberra Airport,2609,,,2023-11-02
NSW,Costco Auburn (Members only),"COSTCO 17-21 PARRAMATTA RD, LIDCOMBE NSW 2141",LIDCOMBE,2141,,,2025-08-08
QLD,Costco Northlakes,17 to 39 Cook Court,North Lakes,4509,-27.213607,152.996416,2019-01-31
QLD,Costco Ipswich Fuel Station,1 Wood Street,Bundamba,4304,-27.590776,152.820541,2019-03-27
QLD,Costco Fuel Gold Coast,47 Creek Road,Coomera,4209,-27.8508290000,153.3143690000,2023-05-23
WA,Costco Perth Airport,142 Dunreath Dr,PERTH AIRPORT,6105,,,2020-04-11
WA,Costco Casuarina,137 Market St,CASUARINA,6167,,,2022-11-11
