costco_key,state,year,month,date,mean_price_cents,n_observations,n_unique_stations
Casuarina,WA,2018,1,2018-01-15,138.6097,31,1
Casuarina,WA,2018,2,2018-02-15,138.15,28,1
Casuarina,WA,2018,3,2018-03-15,135.8355,31,1
Casuarina,WA,2018,4,2018-04-15,139.1333,30,1
Casuarina,WA,2018,5,2018-05-15,147.2871,31,1
Casuarina,WA,2018,6,2018-06-15,147.9,30,1
Casuarina,WA,2018,7,2018-07-15,146.8677,31,1
Casuarina,WA,2018,8,2018-08-15,144.5452,31,1
Casuarina,WA,2018,9,2018-09-15,149.0667,30,1
Casuarina,WA,2018,10,2018-10-15,158.0935,31,1
Casuarina,WA,2018,11,2018-11-15,145.0867,30,1
Casuarina,WA,2018,12,2018-12-15,129.1258,31,1
Casuarina,WA,2019,1,2019-01-15,126.7452,31,1
Casuarina,WA,2019,2,2019-02-15,126.4643,28,1
Casuarina,WA,2019,3,2019-03-15,136.5129,31,1
Casuarina,WA,2019,4,2019-04-15,146.8333,30,1
Casuarina,WA,2019,5,2019-05-15,150.2871,31,1
Casuarina,WA,2019,6,2019-06-15,138.7,30,1
Casuarina,WA,2019,7,2019-07-15,141.3194,31,1
Casuarina,WA,2019,8,2019-08-15,140.7387,31,1
Casuarina,WA,2019,9,2019-09-15,143.5667,30,1
Casuarina,WA,2019,10,2019-10-15,146.4484,31,1
Casuarina,WA,2019,11,2019-11-15,147.2667,30,1
Casuarina,WA,2019,12,2019-12-15,147.0613,31,1
Casuarina,WA,2020,1,2020-01-15,145.2548,31,1
Casuarina,WA,2020,2,2020-02-15,136.1069,29,1
Casuarina,WA,2020,3,2020-03-15,123.5452,31,1
Casuarina,WA,2020,4,2020-04-15,102.4667,30,1
Casuarina,WA,2020,5,2020-05-15,105.2871,31,1
Casuarina,WA,2020,6,2020-06-15,116.4,30,1
Casuarina,WA,2020,7,2020-07-15,124.4161,31,1
Casuarina,WA,2020,8,2020-08-15,120.6097,31,1
Casuarina,WA,2020,9,2020-09-15,120.3667,30,1
Casuarina,WA,2020,10,2020-10-15,116.9,31,1
Casuarina,WA,2020,11,2020-11-15,113.48,30,1
Casuarina,WA,2020,12,2020-12-15,116.9258,31,1
Casuarina,WA,2021,1,2021-01-15,120.2419,31,1
Casuarina,WA,2021,2,2021-02-15,129.1714,28,1
Casuarina,WA,2021,3,2021-03-15,132.3949,59,2
Casuarina,WA,2021,4,2021-04-15,132.5933,60,2
Casuarina,WA,2021,5,2021-05-15,133.1935,62,2
Casuarina,WA,2021,6,2021-06-15,135.5267,60,2
Casuarina,WA,2021,7,2021-07-15,142.9,62,2
Casuarina,WA,2021,8,2021-08-15,143.8871,62,2
Casuarina,WA,2021,9,2021-09-15,145.9133,60,2
Casuarina,WA,2021,10,2021-10-15,156.5516,62,2
Casuarina,WA,2021,11,2021-11-15,164.6133,60,2
Casuarina,WA,2021,12,2021-12-15,158.2323,62,2
Casuarina,WA,2022,1,2022-01-15,162.5323,62,2
Casuarina,WA,2022,2,2022-02-15,174.8143,56,2
Casuarina,WA,2022,3,2022-03-15,195.2194,62,2
Casuarina,WA,2022,4,2022-04-15,166.6567,60,2
Casuarina,WA,2022,5,2022-05-15,183.771,62,2
Casuarina,WA,2022,6,2022-06-15,198.17,60,2
Casuarina,WA,2022,7,2022-07-15,183.6694,62,2
Casuarina,WA,2022,8,2022-08-15,156.5742,62,2
Casuarina,WA,2022,9,2022-09-15,154.31,60,2
Casuarina,WA,2022,10,2022-10-15,171.9968,62,2
Casuarina,WA,2022,11,2022-11-15,175.3733,60,2
Casuarina,WA,2022,12,2022-12-15,162.7493,73,3
Casuarina,WA,2023,1,2023-01-15,166.9215,93,3
Casuarina,WA,2023,2,2023-02-15,170.0857,84,3
Casuarina,WA,2023,3,2023-03-15,174.4451,102,4
Casuarina,WA,2023,4,2023-04-15,179.5228,145,5
Casuarina,WA,2023,5,2023-05-15,171.8697,155,5
Casuarina,WA,2023,6,2023-06-15,170.4787,150,5
Casuarina,WA,2023,7,2023-07-15,172.1619,155,5
Casuarina,WA,2023,8,2023-08-15,192.4019,155,5
Casuarina,WA,2023,9,2023-09-15,198.7133,150,5
Casuarina,WA,2023,10,2023-10-15,192.5368,155,5
Casuarina,WA,2023,11,2023-11-15,189.1773,150,5
Casuarina,WA,2023,12,2023-12-15,178.5497,155,5
Casuarina,WA,2024,1,2024-01-15,176.5581,155,5
Casuarina,WA,2024,2,2024-02-15,188.2697,145,5
Casuarina,WA,2024,3,2024-03-15,185.1627,158,6
Casuarina,WA,2024,4,2024-04-15,187.24,180,6
Casuarina,WA,2024,5,2024-05-15,185.0624,186,6
Casuarina,WA,2024,6,2024-06-15,177.1433,180,6
Casuarina,WA,2024,7,2024-07-15,178.9102,186,6
Casuarina,WA,2024,8,2024-08-15,177.4919,186,6
Casuarina,WA,2024,9,2024-09-15,168.7717,180,6
Casuarina,WA,2024,10,2024-10-15,169.0446,186,6
Casuarina,WA,2024,11,2024-11-15,167.4006,179,6
Casuarina,WA,2024,12,2024-12-15,169.2683,186,6
Casuarina,WA,2025,1,2025-01-15,175.9667,186,6
Casuarina,WA,2025,2,2025-02-15,176.2417,168,6
Casuarina,WA,2025,3,2025-03-15,173.6337,199,7
Casuarina,WA,2025,4,2025-04-15,171.2052,210,7
Casuarina,WA,2025,5,2025-05-15,167.2516,217,7
Casuarina,WA,2025,6,2025-06-15,170.6814,210,7
Casuarina,WA,2025,7,2025-07-15,173.9009,217,7
Casuarina,WA,2025,8,2025-08-15,174.3101,217,7
Casuarina,WA,2025,9,2025-09-15,175.4343,210,7
Casuarina,WA,2025,10,2025-10-15,170.877,217,7
Casuarina,WA,2025,11,2025-11-15,174.1867,210,7
Casuarina,WA,2025,12,2025-12-15,172.8461,217,7
Casuarina,WA,2026,1,2026-01-15,167.2078,217,7
Casuarina,WA,2026,2,2026-02-15,164.2949,196,7
Casuarina,WA,2026,3,2026-03-15,223.0479,217,7
Casuarina,WA,2026,4,2026-04-15,203.7493,203,7
Coomera,QLD,2019,1,2019-01-15,118.6562,16,13
Coomera,QLD,2019,2,2019-02-15,127.6295,193,16
Coomera,QLD,2019,3,2019-03-15,135.5777,211,16
Coomera,QLD,2019,4,2019-04-15,143.1955,243,16
Coomera,QLD,2019,5,2019-05-15,145.9893,456,16
Coomera,QLD,2019,6,2019-06-15,139.14,423,16
Coomera,QLD,2019,7,2019-07-15,139.4931,562,16
Coomera,QLD,2019,8,2019-08-15,139.6494,561,17
Coomera,QLD,2019,9,2019-09-15,148.4069,436,17
Coomera,QLD,2019,10,2019-10-15,153.4172,603,17
Coomera,QLD,2019,11,2019-11-15,148.2048,517,17
Coomera,QLD,2019,12,2019-12-15,149.9149,556,17
Coomera,QLD,2020,1,2020-01-15,147.3216,566,17
Coomera,QLD,2020,2,2020-02-15,140.8552,525,17
Coomera,QLD,2020,3,2020-03-15,129.056,332,16
Coomera,QLD,2020,4,2020-04-15,98.8983,357,17
Coomera,QLD,2020,5,2020-05-15,106.9264,280,16
Coomera,QLD,2020,6,2020-06-15,118.1211,355,17
Coomera,QLD,2020,7,2020-07-15,123.1178,506,17
Coomera,QLD,2020,8,2020-08-15,126.1139,532,17
Coomera,QLD,2020,9,2020-09-15,117.0831,532,17
Coomera,QLD,2020,10,2020-10-15,122.8281,548,17
Coomera,QLD,2020,11,2020-11-15,121.505,604,18
Coomera,QLD,2020,12,2020-12-15,126.071,589,18
Coomera,QLD,2021,1,2021-01-15,129.8232,624,18
Coomera,QLD,2021,2,2021-02-15,133.2906,448,18
Coomera,QLD,2021,3,2021-03-15,139.4588,364,18
Coomera,QLD,2021,4,2021-04-15,141.4527,634,19
Coomera,QLD,2021,5,2021-05-15,140.8072,615,20
Coomera,QLD,2021,6,2021-06-15,147.5707,482,20
Coomera,QLD,2021,7,2021-07-15,151.2012,489,20
Coomera,QLD,2021,8,2021-08-15,154.3066,378,20
Coomera,QLD,2021,9,2021-09-15,160.6374,206,20
Coomera,QLD,2021,10,2021-10-15,165.8961,181,20
Coomera,QLD,2021,11,2021-11-15,168.3146,268,20
Coomera,QLD,2021,12,2021-12-15,168.8136,213,20
Coomera,QLD,2022,1,2022-01-15,175.952,179,20
Coomera,QLD,2022,2,2022-02-15,185.793,187,20
Coomera,QLD,2022,3,2022-03-15,198.4878,287,20
Coomera,QLD,2022,4,2022-04-15,173.7821,301,20
Coomera,QLD,2022,5,2022-05-15,197.0369,279,20
Coomera,QLD,2022,6,2022-06-15,201.7016,255,20
Coomera,QLD,2022,7,2022-07-15,192.64,463,20
Coomera,QLD,2022,8,2022-08-15,170.2881,202,21
Coomera,QLD,2022,9,2022-09-15,169.9704,189,21
Coomera,QLD,2022,10,2022-10-15,179.6267,165,21
Coomera,QLD,2022,11,2022-11-15,194.8821,252,21
Coomera,QLD,2022,12,2022-12-15,179.4041,221,21
Coomera,QLD,2023,3,2023-03-15,179.2143,14,14
Coomera,QLD,2023,4,2023-04-15,195.9067,164,21
Coomera,QLD,2023,5,2023-05-15,177.2504,254,21
Coomera,QLD,2023,6,2023-06-15,181.9869,175,20
Coomera,QLD,2023,7,2023-07-15,182.4219,169,22
Coomera,QLD,2023,8,2023-08-15,207.0312,160,22
Coomera,QLD,2023,9,2023-09-15,206.3541,268,22
Coomera,QLD,2023,10,2023-10-15,203.3057,281,22
Coomera,QLD,2023,11,2023-11-15,195.9088,113,22
Coomera,QLD,2023,12,2023-12-15,193.8658,152,21
Coomera,QLD,2024,1,2024-01-15,189.8882,127,22
