postcode,state,avg_unique_stations,n_months_observed,min_dist_any_costco_km
2326,NSW,3.48,90,23.43
2527,NSW,7.7,92,67.88
2325,NSW,12.09,93,29.48
2259,NSW,22.28,93,36.48
2250,NSW,14.92,93,54.35
2567,NSW,6.88,93,15.38
2830,NSW,9.25,93,265.02
2087,NSW,4.87,93,18.04
2322,NSW,10.31,93,15.6
2221,NSW,5.98,93,15.99
2330,NSW,8.4,91,59.97
2590,NSW,3.74,88,129.71
2640,NSW,8.58,93,221.75
2541,NSW,12.53,93,105.01
2340,NSW,15.17,93,213.03
2529,NSW,4.74,93,68.0
2324,NSW,9.79,92,33.97
2251,NSW,4.4,93,52.37
2320,NSW,10.4,93,30.9
2560,NSW,18.23,93,16.61
2261,NSW,11.25,93,48.27
2800,NSW,11.63,93,170.8
2430,NSW,8.2,92,138.4
2217,NSW,7.43,93,15.92
2750,NSW,11.35,93,15.26
2446,NSW,3.85,78,194.66
2577,NSW,5.49,91,85.77
2350,NSW,6.12,91,266.9
2158,NSW,3.89,93,17.22
2650,NSW,15.72,93,166.6
2880,NSW,6.36,92,828.66
2478,NSW,6.88,93,108.17
2460,NSW,11.86,93,208.95
2850,NSW,3.86,92,171.17
2753,NSW,4.28,93,16.27
2530,NSW,5.57,93,61.03
2165,NSW,9.96,93,19.89
2074,NSW,4.49,93,15.99
2230,NSW,4.75,93,24.52
2323,NSW,6.75,93,20.24
2333,NSW,6.73,89,102.0
2486,NSW,6.35,93,45.31
2790,NSW,6.7,93,66.24
2580,NSW,10.78,93,77.48
2370,NSW,4.85,89,260.1
2020,NSW,3.2,93,15.83
2228,NSW,3.99,93,21.08
2035,NSW,3,93,21.28
2031,NSW,6.29,93,19.23
2485,NSW,3.72,92,42.54
2630,NSW,6.52,92,104.41
2258,NSW,3.67,93,51.4
2229,NSW,5.72,93,21.56
2754,NSW,3.75,93,19.46
2216,NSW,6.94,93,15.1
2720,NSW,3.83,88,90.9
2100,NSW,7.31,93,22.1
2077,NSW,5.84,93,17.55
2505,NSW,4.94,93,58.02
2502,NSW,3.22,89,58.55
2500,NSW,10.19,93,51.66
2450,NSW,12.4,93,270.14
2641,NSW,4.37,90,219.18
2745,NSW,5.4,93,18.23
2705,NSW,4.36,91,267.43
