postcode,state,year,month,date,mean_price_cents,n_observations,n_unique_stations
2326,NSW,2024,4,2024-04-15,207.5,190,5
2326,NSW,2025,4,2025-04-15,185.9879,157,2
2326,NSW,2024,8,2024-08-15,182.9967,182,5
2326,NSW,2025,8,2025-08-15,184.2111,45,1
2326,NSW,2024,12,2024-12-15,184.0086,175,2
2326,NSW,2025,12,2025-12-15,172.5667,6,1
2326,NSW,2024,2,2024-02-15,193.2268,183,5
2326,NSW,2024,1,2024-01-15,183.8256,180,5
2326,NSW,2026,1,2026-01-15,181.3545,11,1
2326,NSW,2024,6,2024-06-15,188.646,200,5
2326,NSW,2024,3,2024-03-15,194.5279,129,3
2326,NSW,2024,5,2024-05-15,194.7421,197,5
2326,NSW,2025,5,2025-05-15,179.6765,170,5
2326,NSW,2024,11,2024-11-15,184.9,128,2
2326,NSW,2024,9,2024-09-15,176.2202,238,5
2326,NSW,2023,12,2023-12-15,187.1455,189,5
2326,NSW,2023,11,2023-11-15,196.9105,190,3
2326,NSW,2019,4,2019-04-15,131.773,37,4
2326,NSW,2020,4,2020-04-15,96.4714,56,3
2326,NSW,2021,4,2021-04-15,135.1093,43,2
2326,NSW,2022,4,2022-04-15,175.7845,71,4
2326,NSW,2023,4,2023-04-15,172.5792,53,2
2326,NSW,2020,8,2020-08-15,100.0797,79,4
2326,NSW,2021,8,2021-08-15,155.5596,47,2
2326,NSW,2022,8,2022-08-15,149.8475,80,4
2326,NSW,2019,12,2019-12-15,132.6034,29,3
2326,NSW,2020,12,2020-12-15,105.2636,55,3
2326,NSW,2022,12,2022-12-15,180.8923,52,4
2326,NSW,2021,12,2021-12-15,155.5067,60,2
2326,NSW,2020,2,2020-02-15,132.675,32,4
2326,NSW,2021,2,2021-02-15,124.784,50,4
2326,NSW,2023,2,2023-02-15,173.3468,47,2
2326,NSW,2022,2,2022-02-15,176.3473,55,4
2326,NSW,2020,1,2020-01-15,133.1146,41,4
2326,NSW,2021,1,2021-01-15,113.451,49,2
2326,NSW,2023,1,2023-01-15,174.9,60,4
2326,NSW,2022,1,2022-01-15,158.5889,36,4
2326,NSW,2020,7,2020-07-15,106.6022,45,4
2326,NSW,2021,7,2021-07-15,161.8382,55,4
2326,NSW,2022,7,2022-07-15,182.8067,238,4
2326,NSW,2023,7,2023-07-15,178.6467,135,5
2326,NSW,2020,6,2020-06-15,99.9587,46,4
2326,NSW,2021,6,2021-06-15,140.515,40,3
2326,NSW,2022,6,2022-06-15,203.3606,376,4
2326,NSW,2023,6,2023-06-15,184.032,150,5
2326,NSW,2020,3,2020-03-15,119.2778,45,4
2326,NSW,2021,3,2021-03-15,135.1642,53,2
2326,NSW,2023,3,2023-03-15,170.7065,62,2
2326,NSW,2022,3,2022-03-15,190.8826,46,4
2326,NSW,2020,5,2020-05-15,93.2452,42,4
2326,NSW,2021,5,2021-05-15,135.1267,45,2
2326,NSW,2022,5,2022-05-15,191.3203,138,4
2326,NSW,2023,5,2023-05-15,169.8354,130,5
2326,NSW,2019,11,2019-11-15,131.4187,32,1
2326,NSW,2020,11,2020-11-15,101.2298,94,4
2326,NSW,2021,11,2021-11-15,155.3261,46,2
2326,NSW,2022,11,2022-11-15,187.7047,43,4
2326,NSW,2019,10,2019-10-15,134.861,41,3
2326,NSW,2020,10,2020-10-15,100.6962,52,3
2326,NSW,2021,10,2021-10-15,151.8213,61,4
2326,NSW,2022,10,2022-10-15,187.4769,52,2
2326,NSW,2023,10,2023-10-15,197.6391,92,3
2326,NSW,2019,9,2019-09-15,129.2824,34,3
2326,NSW,2020,9,2020-09-15,96.7727,66,3
2326,NSW,2022,9,2022-09-15,159.2241,58,4
2326,NSW,2023,9,2023-09-15,199.9268,112,5
2326,NSW,2021,9,2021-09-15,149.9526,57,4
2326,NSW,2018,12,2018-12-15,128.8358,165,4
2326,NSW,2019,2,2019-02-15,121.1571,35,4
2326,NSW,2019,1,2019-01-15,118.8633,120,4
2326,NSW,2019,6,2019-06-15,137.775,40,3
2326,NSW,2018,11,2018-11-15,141.6395,162,4
2326,NSW,2016,12,2016-12-15,119.95,16,4
2326,NSW,2017,4,2017-04-15,121.5211,19,4
2326,NSW,2017,2,2017-02-15,122.9,2,1
2326,NSW,2017,1,2017-01-15,124.6857,14,4
2326,NSW,2017,3,2017-03-15,123.8,10,4
2326,NSW,2018,4,2018-04-15,138.75,32,4
2326,NSW,2019,8,2019-08-15,130.2333,33,2
2326,NSW,2017,8,2017-08-15,115.4714,7,4
2326,NSW,2018,8,2018-08-15,135.1235,81,4
2326,NSW,2018,2,2018-02-15,138.0444,18,3
2326,NSW,2019,7,2019-07-15,142.6855,55,4
2326,NSW,2017,7,2017-07-15,111.3571,14,4
2326,NSW,2017,6,2017-06-15,115.6364,22,4
2326,NSW,2018,3,2018-03-15,131.5364,11,3
2326,NSW,2017,5,2017-05-15,120.35,6,3
2326,NSW,2017,11,2017-11-15,125.8091,11,4
2326,NSW,2017,10,2017-10-15,121.5,25,4
2326,NSW,2017,9,2017-09-15,117.6077,13,4
2527,NSW,2024,4,2024-04-15,197.4324,253,8
2527,NSW,2025,4,2025-04-15,160.9898,59,9
2527,NSW,2024,8,2024-08-15,177.1979,193,8
2527,NSW,2025,8,2025-08-15,170.8704,196,8
2527,NSW,2024,12,2024-12-15,171.4569,51,5
2527,NSW,2025,12,2025-12-15,167.0481,77,7
2527,NSW,2024,2,2024-02-15,189.4702,285,8
2527,NSW,2024,1,2024-01-15,181.7071,238,8
2527,NSW,2026,1,2026-01-15,163.4957,70,8
2527,NSW,2024,6,2024-06-15,190.2834,301,8
2527,NSW,2024,3,2024-03-15,187.1192,281,8
2527,NSW,2024,5,2024-05-15,184.793,230,8
2527,NSW,2025,5,2025-05-15,156.8691,94,9
2527,NSW,2024,11,2024-11-15,181.4655,235,9
2527,NSW,2025,11,2025-11-15,163.8406,175,7
2527,NSW,2024,9,2024-09-15,165.6295,207,8
2527,NSW,2023,12,2023-12-15,180.2413,218,8
2527,NSW,2023,11,2023-11-15,197.1306,157,8
2527,NSW,2019,4,2019-04-15,139.8873,55,8
2527,NSW,2020,4,2020-04-15,96.4511,47,8
2527,NSW,2021,4,2021-04-15,138.6842,19,6
2527,NSW,2022,4,2022-04-15,186.2282,103,8
2527,NSW,2023,4,2023-04-15,179.8597,72,7
