costco_key,state,year,month,date,mean_price_cents,n_observations,n_unique_stations
Casuarina,WA,2022,12,2022-12-15,158.8273,11,1
Casuarina,WA,2023,1,2023-01-15,167.971,31,1
Casuarina,WA,2023,2,2023-02-15,166.2714,28,1
Casuarina,WA,2023,3,2023-03-15,173.8613,31,1
Casuarina,WA,2023,4,2023-04-15,178.5133,30,1
Casuarina,WA,2023,5,2023-05-15,169.9645,31,1
Casuarina,WA,2023,6,2023-06-15,170.06,30,1
Casuarina,WA,2023,7,2023-07-15,177.1613,31,1
Casuarina,WA,2023,8,2023-08-15,195.4806,31,1
Casuarina,WA,2023,9,2023-09-15,202.9533,30,1
Casuarina,WA,2023,10,2023-10-15,195.0355,31,1
Casuarina,WA,2023,11,2023-11-15,191.9667,30,1
Casuarina,WA,2023,12,2023-12-15,177.8161,31,1
Casuarina,WA,2024,1,2024-01-15,177.9452,31,1
Casuarina,WA,2024,2,2024-02-15,188.4862,29,1
Casuarina,WA,2024,3,2024-03-15,183.3824,34,2
Casuarina,WA,2024,4,2024-04-15,182.17,60,2
Casuarina,WA,2024,5,2024-05-15,181.3968,62,2
Casuarina,WA,2024,6,2024-06-15,175.8533,60,2
Casuarina,WA,2024,7,2024-07-15,181.1839,62,2
Casuarina,WA,2024,8,2024-08-15,180.9129,62,2
Casuarina,WA,2024,9,2024-09-15,172.3733,60,2
Casuarina,WA,2024,10,2024-10-15,174.471,62,2
Casuarina,WA,2024,11,2024-11-15,170.4667,60,2
Casuarina,WA,2024,12,2024-12-15,173.371,62,2
Casuarina,WA,2025,1,2025-01-15,180.8677,62,2
Casuarina,WA,2025,2,2025-02-15,178.7929,56,2
Casuarina,WA,2025,3,2025-03-15,177.212,75,3
Casuarina,WA,2025,4,2025-04-15,175.0511,90,3
Casuarina,WA,2025,5,2025-05-15,171.4914,93,3
Casuarina,WA,2025,6,2025-06-15,173.0244,90,3
Casuarina,WA,2025,7,2025-07-15,177.229,93,3
Casuarina,WA,2025,8,2025-08-15,179.2118,93,3
Casuarina,WA,2025,9,2025-09-15,177.6178,90,3
Casuarina,WA,2025,10,2025-10-15,172.5581,93,3
Casuarina,WA,2025,11,2025-11-15,175.8356,90,3
Casuarina,WA,2025,12,2025-12-15,175.9237,93,3
Casuarina,WA,2026,1,2026-01-15,169.9688,93,3
Casuarina,WA,2026,2,2026-02-15,165.4095,84,3
Casuarina,WA,2026,3,2026-03-15,222.4226,93,3
Casuarina,WA,2026,4,2026-04-15,202.7138,87,3
Coomera,QLD,2019,1,2019-01-15,118.7714,7,6
Coomera,QLD,2019,2,2019-02-15,127.6544,90,8
Coomera,QLD,2019,3,2019-03-15,135.6763,93,8
Coomera,QLD,2019,4,2019-04-15,143.4815,108,8
Coomera,QLD,2019,5,2019-05-15,146.271,214,8
Coomera,QLD,2019,6,2019-06-15,139.1063,205,8
Coomera,QLD,2019,7,2019-07-15,139.3217,258,8
Coomera,QLD,2019,8,2019-08-15,140.1087,276,9
Coomera,QLD,2019,9,2019-09-15,149.1028,214,9
Coomera,QLD,2019,10,2019-10-15,153.7689,299,9
Coomera,QLD,2019,11,2019-11-15,148.1264,258,9
Coomera,QLD,2019,12,2019-12-15,149.9607,262,9
Coomera,QLD,2020,1,2020-01-15,147.0063,271,9
Coomera,QLD,2020,2,2020-02-15,140.9665,266,9
Coomera,QLD,2020,3,2020-03-15,129.0456,180,9
Coomera,QLD,2020,4,2020-04-15,98.547,183,9
Coomera,QLD,2020,5,2020-05-15,106.897,134,8
Coomera,QLD,2020,6,2020-06-15,117.8519,181,9
Coomera,QLD,2020,7,2020-07-15,122.5785,242,9
Coomera,QLD,2020,8,2020-08-15,126.0732,246,9
Coomera,QLD,2020,9,2020-09-15,117.3095,263,9
Coomera,QLD,2020,10,2020-10-15,122.962,255,9
Coomera,QLD,2020,11,2020-11-15,121.6516,310,9
Coomera,QLD,2020,12,2020-12-15,126.5787,315,9
Coomera,QLD,2021,1,2021-01-15,130.0854,315,9
Coomera,QLD,2021,2,2021-02-15,132.7143,223,9
Coomera,QLD,2021,3,2021-03-15,139.1005,195,9
Coomera,QLD,2021,4,2021-04-15,141.5093,322,9
Coomera,QLD,2021,5,2021-05-15,140.7904,311,9
Coomera,QLD,2021,6,2021-06-15,149.2345,252,9
Coomera,QLD,2021,7,2021-07-15,152.196,225,9
Coomera,QLD,2021,8,2021-08-15,154.4817,164,9
Coomera,QLD,2021,9,2021-09-15,162.489,91,9
Coomera,QLD,2021,10,2021-10-15,167.2739,92,9
Coomera,QLD,2021,11,2021-11-15,170.2063,128,9
Coomera,QLD,2021,12,2021-12-15,170.1825,120,9
Coomera,QLD,2022,1,2022-01-15,177.0284,81,9
Coomera,QLD,2022,2,2022-02-15,186.662,100,9
Coomera,QLD,2022,3,2022-03-15,199.6305,131,9
Coomera,QLD,2022,4,2022-04-15,174.0766,154,9
Coomera,QLD,2022,5,2022-05-15,198.7111,144,9
Coomera,QLD,2022,6,2022-06-15,201.027,126,9
Coomera,QLD,2022,7,2022-07-15,194.0687,224,9
Coomera,QLD,2022,8,2022-08-15,170.5333,93,10
Coomera,QLD,2022,9,2022-09-15,172.3079,76,10
Coomera,QLD,2022,10,2022-10-15,180.6078,77,10
Coomera,QLD,2022,11,2022-11-15,197.9777,130,10
Coomera,QLD,2022,12,2022-12-15,179.362,108,10
Coomera,QLD,2023,3,2023-03-15,177.5857,7,7
Coomera,QLD,2023,4,2023-04-15,196.7871,101,10
Coomera,QLD,2023,5,2023-05-15,176.0387,160,10
Coomera,QLD,2023,6,2023-06-15,181.0614,88,11
Coomera,QLD,2023,7,2023-07-15,179.5863,95,11
Coomera,QLD,2023,8,2023-08-15,206.3658,79,11
Coomera,QLD,2023,9,2023-09-15,205.9139,158,11
Coomera,QLD,2023,10,2023-10-15,201.9,125,11
Coomera,QLD,2023,11,2023-11-15,191.2905,63,11
Coomera,QLD,2023,12,2023-12-15,193.7629,35,10
Coomera,QLD,2024,1,2024-01-15,195.922,50,11
Coomera,QLD,2024,2,2024-02-15,194.9835,85,11
Coomera,QLD,2024,3,2024-03-15,202.0607,56,11
Coomera,QLD,2024,4,2024-04-15,210.4889,54,11
Coomera,QLD,2024,5,2024-05-15,204.2825,206,11
Coomera,QLD,2024,6,2024-06-15,203.3483,325,11
Coomera,QLD,2024,7,2024-07-15,197.2437,119,11
Coomera,QLD,2024,8,2024-08-15,188.1378,156,11
Coomera,QLD,2024,9,2024-09-15,171.1557,106,11
Coomera,QLD,2024,10,2024-10-15,180.2247,190,11
Coomera,QLD,2024,11,2024-11-15,188.2719,167,11
Coomera,QLD,2024,12,2024-12-15,189.892,75,11
Coomera,QLD,2025,1,2025-01-15,187.0047,192,11
Coomera,QLD,2025,2,2025-02-15,193.9828,58,11
Coomera,QLD,2025,3,2025-03-15,190.1839,62,11
Coomera,QLD,2025,4,2025-04-15,176.6396,53,11
Coomera,QLD,2025,5,2025-05-15,182.3857,98,11
Coomera,QLD,2025,6,2025-06-15,169.5615,161,11
Coomera,QLD,2025,7,2025-07-15,185.0918,316,11
Coomera,QLD,2025,8,2025-08-15,183.1864,118,11
Coomera,QLD,2025,9,2025-09-15,188.7696,115,11
Coomera,QLD,2025,10,2025-10-15,181.0117,351,11
Coomera,QLD,2025,11,2025-11-15,183.6717,219,11
Coomera,QLD,2025,12,2025-12-15,182.3822,258,11
Lake Macquarie,NSW,2016,12,2016-12-15,127.3,18,2
Lake Macquarie,NSW,2017,1,2017-01-15,139.7211,19,3
Lake Macquarie,NSW,2017,2,2017-02-15,140.38,5,3
Lake Macquarie,NSW,2017,3,2017-03-15,127.2083,24,3
Lake Macquarie,NSW,2017,4,2017-04-15,128.9,23,3
Lake Macquarie,NSW,2017,5,2017-05-15,133.3615,13,3
Lake Macquarie,NSW,2017,6,2017-06-15,129.7981,53,3
Lake Macquarie,NSW,2017,7,2017-07-15,114.6091,55,3
Lake Macquarie,NSW,2017,8,2017-08-15,126.7182,121,3
Lake Macquarie,NSW,2017,9,2017-09-15,122.6619,84,2
Lake Macquarie,NSW,2017,10,2017-10-15,137.5667,21,3
Lake Macquarie,NSW,2017,11,2017-11-15,139.2,4,1
Lake Macquarie,NSW,2017,12,2017-12-15,144.7,11,2
Lake Macquarie,NSW,2018,1,2018-01-15,144.2714,7,2
Lake Macquarie,NSW,2018,2,2018-02-15,144.3545,11,2
Lake Macquarie,NSW,2018,3,2018-03-15,136.9,2,1
Lake Macquarie,NSW,2018,4,2018-04-15,146.927,37,4
Lake Macquarie,NSW,2018,8,2018-08-15,155.58,25,4
Lake Macquarie,NSW,2018,11,2018-11-15,151.9698,43,4
Lake Macquarie,NSW,2018,12,2018-12-15,140.1308,26,3
Lake Macquarie,NSW,2019,1,2019-01-15,132.0739,23,4
Lake Macquarie,NSW,2019,2,2019-02-15,135.9909,11,3
Lake Macquarie,NSW,2019,4,2019-04-15,158.9,2,2
Lake Macquarie,NSW,2019,6,2019-06-15,144.9769,13,4
Lake Macquarie,NSW,2019,7,2019-07-15,148.6778,18,4
Lake Macquarie,NSW,2019,8,2019-08-15,150.2625,32,3
Lake Macquarie,NSW,2019,9,2019-09-15,143.72,10,5
Lake Macquarie,NSW,2019,10,2019-10-15,148.6545,44,5
Lake Macquarie,NSW,2019,11,2019-11-15,146.4161,62,5
Lake Macquarie,NSW,2019,12,2019-12-15,139.6273,22,5
Lake Macquarie,NSW,2020,1,2020-01-15,148.8737,38,5
Lake Macquarie,NSW,2020,2,2020-02-15,146.7636,44,5
Lake Macquarie,NSW,2020,3,2020-03-15,130.1381,42,5
Lake Macquarie,NSW,2020,4,2020-04-15,101.541,39,5
Lake Macquarie,NSW,2020,5,2020-05-15,101.3182,33,5
Lake Macquarie,NSW,2020,6,2020-06-15,125.7,20,4
Lake Macquarie,NSW,2020,7,2020-07-15,107.3118,34,5
Lake Macquarie,NSW,2020,8,2020-08-15,102.7,18,5
Lake Macquarie,NSW,2020,9,2020-09-15,120.1667,36,5
Lake Macquarie,NSW,2020,10,2020-10-15,115.0547,86,6
Lake Macquarie,NSW,2020,11,2020-11-15,114.7429,56,6
Lake Macquarie,NSW,2020,12,2020-12-15,126.47,10,7
Lake Macquarie,NSW,2021,1,2021-01-15,123.64,5,5
Lake Macquarie,NSW,2021,2,2021-02-15,143.735,20,6
Lake Macquarie,NSW,2021,3,2021-03-15,145.0947,19,7
Lake Macquarie,NSW,2021,4,2021-04-15,145.75,2,2
Lake Macquarie,NSW,2021,5,2021-05-15,144.98,5,4
Lake Macquarie,NSW,2021,6,2021-06-15,143.07,10,7
Lake Macquarie,NSW,2021,8,2021-08-15,159.1455,11,7
Lake Macquarie,NSW,2021,9,2021-09-15,148.587,23,6
Lake Macquarie,NSW,2021,10,2021-10-15,162.4083,24,7
Lake Macquarie,NSW,2021,11,2021-11-15,167.7704,27,5
Lake Macquarie,NSW,2021,12,2021-12-15,163.3,10,6
Lake Macquarie,NSW,2022,1,2022-01-15,182.2857,14,7
Lake Macquarie,NSW,2022,2,2022-02-15,182.0935,31,6
Lake Macquarie,NSW,2022,3,2022-03-15,191.3176,34,7
Lake Macquarie,NSW,2022,4,2022-04-15,178.5133,75,7
Lake Macquarie,NSW,2022,5,2022-05-15,193.3615,91,7
Lake Macquarie,NSW,2022,6,2022-06-15,207.8343,210,7
Lake Macquarie,NSW,2022,7,2022-07-15,198.9992,125,7
Lake Macquarie,NSW,2022,8,2022-08-15,170.2049,81,6
Lake Macquarie,NSW,2022,9,2022-09-15,178.7722,18,7
Lake Macquarie,NSW,2022,10,2022-10-15,178.7507,75,9
Lake Macquarie,NSW,2022,11,2022-11-15,192.525,52,8
Lake Macquarie,NSW,2022,12,2022-12-15,175.1833,36,8
Lake Macquarie,NSW,2023,1,2023-01-15,186.3271,59,10
Lake Macquarie,NSW,2023,2,2023-02-15,192.0026,39,10
Lake Macquarie,NSW,2023,3,2023-03-15,181.0621,29,8
Lake Macquarie,NSW,2023,4,2023-04-15,193.8429,42,9
Lake Macquarie,NSW,2023,5,2023-05-15,171.2257,74,10
Lake Macquarie,NSW,2023,6,2023-06-15,187.278,100,9
Lake Macquarie,NSW,2023,7,2023-07-15,200.4638,47,10
Lake Macquarie,NSW,2023,9,2023-09-15,216.757,107,10
Lake Macquarie,NSW,2023,10,2023-10-15,197.0246,118,11
Lake Macquarie,NSW,2023,11,2023-11-15,201.2308,198,11
Lake Macquarie,NSW,2023,12,2023-12-15,193.6888,178,11
Lake Macquarie,NSW,2024,1,2024-01-15,185.8515,202,11
Lake Macquarie,NSW,2024,2,2024-02-15,194.0678,202,11
Lake Macquarie,NSW,2024,3,2024-03-15,203.8657,207,11
Lake Macquarie,NSW,2024,4,2024-04-15,212.822,109,12
Lake Macquarie,NSW,2024,5,2024-05-15,191.2264,231,12
Lake Macquarie,NSW,2024,6,2024-06-15,200.9789,261,12
Lake Macquarie,NSW,2024,8,2024-08-15,186.8904,218,12
Lake Macquarie,NSW,2024,9,2024-09-15,168.1496,133,12
Lake Macquarie,NSW,2024,11,2024-11-15,182.9885,234,12
Lake Macquarie,NSW,2024,12,2024-12-15,196.802,51,11
Lake Macquarie,NSW,2025,4,2025-04-15,189.3159,113,12
Lake Macquarie,NSW,2025,5,2025-05-15,175.8481,135,13
Lake Macquarie,NSW,2025,8,2025-08-15,178.3889,27,7
Lake Macquarie,NSW,2025,11,2025-11-15,175.2286,154,12
Lake Macquarie,NSW,2025,12,2025-12-15,176.1993,151,13
Lake Macquarie,NSW,2026,1,2026-01-15,170.8891,55,13
