costco_key,state,year,month,date,mean_price_cents,n_observations,n_unique_stations
Casuarina,WA,2018,1,2018-01-15,137.7194,186,6
Casuarina,WA,2018,2,2018-02-15,136.9595,168,6
Casuarina,WA,2018,3,2018-03-15,135.1849,186,6
Casuarina,WA,2018,4,2018-04-15,138.14,180,6
Casuarina,WA,2018,5,2018-05-15,146.0323,186,6
Casuarina,WA,2018,6,2018-06-15,147.9267,180,6
Casuarina,WA,2018,7,2018-07-15,145.2247,186,6
Casuarina,WA,2018,8,2018-08-15,143.0581,186,6
Casuarina,WA,2018,9,2018-09-15,148.13,180,6
Casuarina,WA,2018,10,2018-10-15,157.0989,186,6
Casuarina,WA,2018,11,2018-11-15,144.7456,180,6
Casuarina,WA,2018,12,2018-12-15,128.7796,186,6
Casuarina,WA,2019,1,2019-01-15,127.1495,186,6
Casuarina,WA,2019,2,2019-02-15,128.9417,168,6
Casuarina,WA,2019,3,2019-03-15,136.3511,186,6
Casuarina,WA,2019,4,2019-04-15,146.7111,180,6
Casuarina,WA,2019,5,2019-05-15,150.5355,186,6
Casuarina,WA,2019,6,2019-06-15,140.2977,174,6
Casuarina,WA,2019,7,2019-07-15,141.25,168,6
Casuarina,WA,2019,8,2019-08-15,139.5387,186,6
Casuarina,WA,2019,9,2019-09-15,142.6867,180,6
Casuarina,WA,2019,10,2019-10-15,146.4677,186,6
Casuarina,WA,2019,11,2019-11-15,145.1256,180,6
Casuarina,WA,2019,12,2019-12-15,145.7161,186,6
Casuarina,WA,2020,1,2020-01-15,144.3323,186,6
Casuarina,WA,2020,2,2020-02-15,136.2379,174,6
Casuarina,WA,2020,3,2020-03-15,122.9806,186,6
Casuarina,WA,2020,4,2020-04-15,101.3911,180,6
Casuarina,WA,2020,5,2020-05-15,103.3785,186,6
Casuarina,WA,2020,6,2020-06-15,115.0256,180,6
Casuarina,WA,2020,7,2020-07-15,121.5384,198,7
Casuarina,WA,2020,8,2020-08-15,117.1645,217,7
Casuarina,WA,2020,9,2020-09-15,118.2971,210,7
Casuarina,WA,2020,10,2020-10-15,119.1313,217,7
Casuarina,WA,2020,11,2020-11-15,117.0457,210,7
Casuarina,WA,2020,12,2020-12-15,119.6521,217,7
Casuarina,WA,2021,1,2021-01-15,122.6336,217,7
Casuarina,WA,2021,2,2021-02-15,129.6276,196,7
Casuarina,WA,2021,3,2021-03-15,135.8118,245,8
Casuarina,WA,2021,4,2021-04-15,137.4457,269,9
Casuarina,WA,2021,5,2021-05-15,136.3516,279,9
Casuarina,WA,2021,6,2021-06-15,138.9926,270,9
Casuarina,WA,2021,7,2021-07-15,146.187,301,10
Casuarina,WA,2021,8,2021-08-15,145.9258,310,10
Casuarina,WA,2021,9,2021-09-15,148.3857,300,10
Casuarina,WA,2021,10,2021-10-15,158.0006,310,10
Casuarina,WA,2021,11,2021-11-15,164.0403,300,10
Casuarina,WA,2021,12,2021-12-15,158.2877,310,10
Casuarina,WA,2022,1,2022-01-15,164.1045,314,11
Casuarina,WA,2022,2,2022-02-15,175.5536,308,11
Casuarina,WA,2022,3,2022-03-15,195.0314,341,11
Casuarina,WA,2022,4,2022-04-15,166.4382,330,11
Casuarina,WA,2022,5,2022-05-15,184.3475,341,11
Casuarina,WA,2022,6,2022-06-15,199.152,331,12
Casuarina,WA,2022,7,2022-07-15,186.3293,372,12
Casuarina,WA,2022,8,2022-08-15,160.579,372,12
Casuarina,WA,2022,9,2022-09-15,159.0817,360,12
Casuarina,WA,2022,10,2022-10-15,177.0704,375,13
Casuarina,WA,2022,11,2022-11-15,179.4823,390,13
Casuarina,WA,2022,12,2022-12-15,166.6362,414,14
Casuarina,WA,2023,1,2023-01-15,169.7389,434,14
Casuarina,WA,2023,2,2023-02-15,173.4967,392,14
Casuarina,WA,2023,3,2023-03-15,175.0928,443,15
Casuarina,WA,2023,4,2023-04-15,179.5261,475,16
Casuarina,WA,2023,5,2023-05-15,172.2728,496,16
Casuarina,WA,2023,6,2023-06-15,171.8888,480,16
Casuarina,WA,2023,7,2023-07-15,173.4601,496,16
Casuarina,WA,2023,8,2023-08-15,191.5333,523,17
Casuarina,WA,2023,9,2023-09-15,198.9941,510,17
Casuarina,WA,2023,10,2023-10-15,191.1894,527,17
Casuarina,WA,2023,11,2023-11-15,188.5618,510,17
Casuarina,WA,2023,12,2023-12-15,176.8924,539,18
Casuarina,WA,2024,1,2024-01-15,173.6111,558,18
Casuarina,WA,2024,2,2024-02-15,184.9172,522,18
Casuarina,WA,2024,3,2024-03-15,183.8938,561,19
Casuarina,WA,2024,4,2024-04-15,188.6651,570,19
Casuarina,WA,2024,5,2024-05-15,184.8973,598,20
Casuarina,WA,2024,6,2024-06-15,176.659,600,20
Casuarina,WA,2024,7,2024-07-15,179.2874,620,20
Casuarina,WA,2024,8,2024-08-15,176.5616,620,20
Casuarina,WA,2024,9,2024-09-15,166.5415,600,20
Casuarina,WA,2024,10,2024-10-15,167.1397,620,20
Casuarina,WA,2024,11,2024-11-15,165.8138,625,21
Casuarina,WA,2024,12,2024-12-15,168.1167,651,21
Casuarina,WA,2025,1,2025-01-15,174.9664,651,21
Casuarina,WA,2025,2,2025-02-15,175.1168,588,21
Casuarina,WA,2025,3,2025-03-15,172.353,687,23
Casuarina,WA,2025,4,2025-04-15,170.1839,690,23
Casuarina,WA,2025,5,2025-05-15,165.8111,713,23
Casuarina,WA,2025,6,2025-06-15,168.4722,702,24
Casuarina,WA,2025,7,2025-07-15,170.2789,744,24
Casuarina,WA,2025,8,2025-08-15,168.3118,771,25
Casuarina,WA,2025,9,2025-09-15,170.8747,750,25
Casuarina,WA,2025,10,2025-10-15,169.1599,775,25
Casuarina,WA,2025,11,2025-11-15,172.1827,750,25
Casuarina,WA,2025,12,2025-12-15,169.9388,796,26
Casuarina,WA,2026,1,2026-01-15,163.3603,806,26
Casuarina,WA,2026,2,2026-02-15,160.5277,728,26
Casuarina,WA,2026,3,2026-03-15,220.0169,806,26
Casuarina,WA,2026,4,2026-04-15,202.3663,754,26
Coomera,QLD,2019,1,2019-01-15,118.4581,31,25
Coomera,QLD,2019,2,2019-02-15,126.7192,380,30
Coomera,QLD,2019,3,2019-03-15,135.6332,443,30
Coomera,QLD,2019,4,2019-04-15,142.0603,484,30
Coomera,QLD,2019,5,2019-05-15,146.1512,913,32
Coomera,QLD,2019,6,2019-06-15,139.0234,901,32
Coomera,QLD,2019,7,2019-07-15,139.1697,1201,32
Coomera,QLD,2019,8,2019-08-15,138.2961,1190,33
Coomera,QLD,2019,9,2019-09-15,147.3909,895,33
Coomera,QLD,2019,10,2019-10-15,152.2329,1133,33
Coomera,QLD,2019,11,2019-11-15,147.095,1089,33
Coomera,QLD,2019,12,2019-12-15,149.198,1138,33
Coomera,QLD,2020,1,2020-01-15,146.7272,1129,33
Coomera,QLD,2020,2,2020-02-15,139.5827,1109,33
Coomera,QLD,2020,3,2020-03-15,127.3361,643,32
Coomera,QLD,2020,4,2020-04-15,97.7957,690,34
Coomera,QLD,2020,5,2020-05-15,106.8235,575,33
Coomera,QLD,2020,6,2020-06-15,118.3121,719,35
Coomera,QLD,2020,7,2020-07-15,123.0583,1034,35
Coomera,QLD,2020,8,2020-08-15,125.2427,1100,35
Coomera,QLD,2020,9,2020-09-15,116.7538,1024,35
Coomera,QLD,2020,10,2020-10-15,122.3908,1134,35
Coomera,QLD,2020,11,2020-11-15,121.2277,1184,36
Coomera,QLD,2020,12,2020-12-15,125.7421,1041,36
Coomera,QLD,2021,1,2021-01-15,128.9422,1202,36
Coomera,QLD,2021,2,2021-02-15,132.3129,854,36
Coomera,QLD,2021,3,2021-03-15,140.1405,696,36
Coomera,QLD,2021,4,2021-04-15,141.5526,1229,37
Coomera,QLD,2021,5,2021-05-15,141.5475,1189,38
Coomera,QLD,2021,6,2021-06-15,147.448,940,38
Coomera,QLD,2021,7,2021-07-15,151.1857,968,38
Coomera,QLD,2021,8,2021-08-15,153.974,715,38
Coomera,QLD,2021,9,2021-09-15,160.9548,376,37
Coomera,QLD,2021,10,2021-10-15,166.5708,367,38
Coomera,QLD,2021,11,2021-11-15,170.042,502,38
Coomera,QLD,2021,12,2021-12-15,167.0188,431,38
Coomera,QLD,2022,1,2022-01-15,175.6685,356,38
Coomera,QLD,2022,2,2022-02-15,184.1517,379,38
Coomera,QLD,2022,3,2022-03-15,197.6163,638,38
Coomera,QLD,2022,4,2022-04-15,172.9307,589,38
Coomera,QLD,2022,5,2022-05-15,197.3993,552,38
Coomera,QLD,2022,6,2022-06-15,199.6944,587,38
Coomera,QLD,2022,7,2022-07-15,191.8415,873,38
Coomera,QLD,2022,8,2022-08-15,169.6574,394,39
Coomera,QLD,2022,9,2022-09-15,169.2991,349,39
Coomera,QLD,2022,10,2022-10-15,179.2246,309,39
Coomera,QLD,2022,11,2022-11-15,194.5764,512,38
Coomera,QLD,2022,12,2022-12-15,178.3145,380,38
Coomera,QLD,2023,3,2023-03-15,178.9071,28,27
Coomera,QLD,2023,4,2023-04-15,196.414,314,38
Coomera,QLD,2023,5,2023-05-15,178.8116,527,38
Coomera,QLD,2023,6,2023-06-15,181.9394,411,36
Coomera,QLD,2023,7,2023-07-15,182.3063,318,39
Coomera,QLD,2023,8,2023-08-15,206.4211,327,39
Coomera,QLD,2023,9,2023-09-15,206.9327,505,39
Coomera,QLD,2023,10,2023-10-15,203.7355,592,39
Coomera,QLD,2023,11,2023-11-15,198.5637,201,38
Coomera,QLD,2023,12,2023-12-15,191.363,324,36
Coomera,QLD,2024,1,2024-01-15,191.9622,217,38
Coomera,QLD,2024,2,2024-02-15,194.1624,287,38
Coomera,QLD,2024,3,2024-03-15,199.9778,216,34
Coomera,QLD,2024,4,2024-04-15,214.2594,202,38
Coomera,QLD,2024,5,2024-05-15,202.8128,627,38
Coomera,QLD,2024,6,2024-06-15,199.3549,623,37
Coomera,QLD,2024,7,2024-07-15,192.7724,370,37
Coomera,QLD,2024,8,2024-08-15,189.8687,610,38
Coomera,QLD,2024,9,2024-09-15,173.2016,373,39
Coomera,QLD,2024,10,2024-10-15,181.4481,590,39
Coomera,QLD,2024,11,2024-11-15,189.7188,388,39
Coomera,QLD,2024,12,2024-12-15,189.7547,223,40
Coomera,QLD,2025,1,2025-01-15,186.5504,540,40
Coomera,QLD,2025,2,2025-02-15,193.277,178,38
Coomera,QLD,2025,3,2025-03-15,191.5541,233,39
Coomera,QLD,2025,4,2025-04-15,174.8688,192,40
Coomera,QLD,2025,5,2025-05-15,178.2892,240,40
Coomera,QLD,2025,6,2025-06-15,170.3318,359,40
Coomera,QLD,2025,7,2025-07-15,185.1205,762,37
Coomera,QLD,2025,8,2025-08-15,186.1061,378,36
Coomera,QLD,2025,9,2025-09-15,187.4074,447,35
Coomera,QLD,2025,10,2025-10-15,181.2207,1075,40
Coomera,QLD,2025,11,2025-11-15,184.3138,782,40
Coomera,QLD,2025,12,2025-12-15,180.0697,788,40
Lake Macquarie,NSW,2016,12,2016-12-15,123.4416,101,15
Lake Macquarie,NSW,2017,1,2017-01-15,137.821,195,18
Lake Macquarie,NSW,2017,2,2017-02-15,129.4123,73,16
Lake Macquarie,NSW,2017,3,2017-03-15,123.2267,202,19
Lake Macquarie,NSW,2017,4,2017-04-15,124.8489,227,19
Lake Macquarie,NSW,2017,5,2017-05-15,126.8531,213,19
Lake Macquarie,NSW,2017,6,2017-06-15,117.5905,451,19
Lake Macquarie,NSW,2017,7,2017-07-15,108.6168,279,18
Lake Macquarie,NSW,2017,8,2017-08-15,123.5325,770,21
Lake Macquarie,NSW,2017,9,2017-09-15,119.7757,478,20
Lake Macquarie,NSW,2017,10,2017-10-15,136.258,157,21
Lake Macquarie,NSW,2017,11,2017-11-15,135.256,91,16
Lake Macquarie,NSW,2017,12,2017-12-15,142.2252,107,15
Lake Macquarie,NSW,2018,1,2018-01-15,138.9567,127,16
Lake Macquarie,NSW,2018,2,2018-02-15,141.4923,181,17
Lake Macquarie,NSW,2018,3,2018-03-15,135.9273,128,17
Lake Macquarie,NSW,2018,4,2018-04-15,145.1701,221,21
Lake Macquarie,NSW,2018,8,2018-08-15,143.7506,362,22
Lake Macquarie,NSW,2018,11,2018-11-15,141.2378,426,21
Lake Macquarie,NSW,2018,12,2018-12-15,127.4572,264,21
Lake Macquarie,NSW,2019,1,2019-01-15,126.384,156,22
Lake Macquarie,NSW,2019,2,2019-02-15,132.1135,133,22
Lake Macquarie,NSW,2019,4,2019-04-15,138.6186,113,18
