costco_key,state,year,month,date,mean_price_cents,n_observations,n_unique_stations
Casuarina,WA,2018,1,2018-01-15,136.8718,961,31
Casuarina,WA,2018,2,2018-02-15,136.0535,868,31
Casuarina,WA,2018,3,2018-03-15,134.522,1002,33
Casuarina,WA,2018,4,2018-04-15,137.7812,990,33
Casuarina,WA,2018,5,2018-05-15,145.7533,1023,33
Casuarina,WA,2018,6,2018-06-15,147.4154,1000,34
Casuarina,WA,2018,7,2018-07-15,145.0092,1054,34
Casuarina,WA,2018,8,2018-08-15,143.1916,1070,35
Casuarina,WA,2018,9,2018-09-15,147.5684,1050,35
Casuarina,WA,2018,10,2018-10-15,156.3084,1085,35
Casuarina,WA,2018,11,2018-11-15,144.6177,1050,35
Casuarina,WA,2018,12,2018-12-15,128.4159,1091,36
Casuarina,WA,2019,1,2019-01-15,127.2092,1116,36
Casuarina,WA,2019,2,2019-02-15,128.6556,1008,36
Casuarina,WA,2019,3,2019-03-15,135.4815,1153,38
Casuarina,WA,2019,4,2019-04-15,144.1896,1140,38
Casuarina,WA,2019,5,2019-05-15,148.2373,1178,38
Casuarina,WA,2019,6,2019-06-15,137.6845,1134,38
Casuarina,WA,2019,7,2019-07-15,138.9923,1160,38
Casuarina,WA,2019,8,2019-08-15,138.0948,1178,38
Casuarina,WA,2019,9,2019-09-15,140.9682,1140,38
Casuarina,WA,2019,10,2019-10-15,144.7427,1180,39
Casuarina,WA,2019,11,2019-11-15,143.6532,1170,39
Casuarina,WA,2019,12,2019-12-15,143.9372,1216,40
Casuarina,WA,2020,1,2020-01-15,141.4201,1240,40
Casuarina,WA,2020,2,2020-02-15,133.2618,1157,40
Casuarina,WA,2020,3,2020-03-15,121.5153,1209,39
Casuarina,WA,2020,4,2020-04-15,100.1214,1170,39
Casuarina,WA,2020,5,2020-05-15,102.1429,1209,39
Casuarina,WA,2020,6,2020-06-15,113.2803,1170,39
Casuarina,WA,2020,7,2020-07-15,119.796,1221,40
Casuarina,WA,2020,8,2020-08-15,116.5161,1240,40
Casuarina,WA,2020,9,2020-09-15,116.1705,1229,41
Casuarina,WA,2020,10,2020-10-15,117.4272,1270,42
Casuarina,WA,2020,11,2020-11-15,115.1463,1230,41
Casuarina,WA,2020,12,2020-12-15,118.1236,1286,42
Casuarina,WA,2021,1,2021-01-15,121.5781,1302,42
Casuarina,WA,2021,2,2021-02-15,128.365,1176,42
Casuarina,WA,2021,3,2021-03-15,135.762,1316,43
Casuarina,WA,2021,4,2021-04-15,138.1647,1378,48
Casuarina,WA,2021,5,2021-05-15,137.7849,1488,48
Casuarina,WA,2021,6,2021-06-15,140.0046,1461,51
Casuarina,WA,2021,7,2021-07-15,147.4074,1590,53
Casuarina,WA,2021,8,2021-08-15,147.0923,1601,52
