state,station_id,name,name_norm,address,suburb,postcode,lat,lng
NSW,1-25EGFEF,United Petroleum Umina,united petroleum umina,"307-313 Ocean Beach Road, UMINA BEACH NSW 2257",UMINA BEACH,2257,-33.511231,151.318092
NSW,1-27WFD0H,United Petroleum Wilberforce,united petroleum wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",WILBERFORCE,2756,-33.56288,150.83842
NSW,1-2AHQUAN,Toowoon Bay Service Station,toowoon bay service station,"142 Bay Rd, TOOWOON BAY NSW 2261",TOOWOON BAY,2261,-33.360126,151.497039
NSW,1-2AHS0MQ,Metro Petroleum Oakflats,metro petroleum oakflats,"80-82 Central Ave, OAK FLATS NSW 2529",OAK FLATS,2529,-34.562617,150.819412
NSW,1-2AYH9N2,Ampol Foodary Brunswick Heads R/H,ampol foodary brunswick heads r/h,"5 Tweed St, BRUNSWICK HEADS NSW 2483",BRUNSWICK HEADS,2483,-28.538168,153.548694
NSW,1-2AYI8Y1,Ampol Foodary Lambton,ampol foodary lambton,"422 Newcastle Road, NORTH LAMBTON NSW 2299",NORTH LAMBTON,2299,-32.9095591,151.7109683
NSW,1-2AYMU0Y,Ampol Nyngan,ampol nyngan,"39 Pangee St, NYNGAN NSW 2825",NYNGAN,2825,-31.560944,147.191497
NSW,1-2AYNI03,EG Ampol West Ryde,eg ampol west ryde,"924 Victoria Rd, WEST RYDE NSW 2114",WEST RYDE,2114,-33.810887,151.093485
NSW,1-2B7BB1X,TASCO Leeton Vance Rd,tasco leeton vance rd,"44-46 Vance Rd, LEETON NSW 2705",LEETON,2705,-34.54381,146.387014
NSW,1-2B7GTJU,Transwest Fuels,transwest fuels,"286 Manilla St, MANILLA NSW 2346",MANILLA,2346,-30.7397134,150.7162884
NSW,1-2B7HPDR,Transwest Fuels,transwest fuels,"2 Chelmsford St, KOOTINGAL NSW 2352",KOOTINGAL,2352,-31.0560489,151.0475884
NSW,1-2BDPTQH,Powerfuel,powerfuel,"101 Blaxcell St, GRANVILLE NSW 2142",GRANVILLE,2142,-33.842551,151.010602
NSW,1-2BG354P,BP Eastern Creek T/S,bp eastern creek t/s,"1 Wallgrove Rd, Eastern Creek NSW 2766",EASTERN CREEK,2766,-33.81127,150.84995
NSW,1-2BIBC2B,BP Matraville,bp matraville,"585 Bunnerong Rd, MATRAVILLE NSW 2036",MATRAVILLE,2036,-33.963312,151.231804
NSW,1-2BLJH7Z,7-Eleven Thornton,7-eleven thornton,"1 Weakleys Dr, THORNTON NSW 2322",THORNTON,2322,-32.7929856,151.6374608
NSW,1-2CAUREF,Mountain Motors Walcha,mountain motors walcha,"18n Derby St, WALCHA NSW 2354",WALCHA,2354,-30.984604,151.593797
NSW,1-2FN2KKT,South Petrol,south petrol,"48 Illawarra St, PORT KEMBLA NSW 2505",PORT KEMBLA,2505,-34.48657,150.901734
NSW,1-2G2PLSC,CALTEX MUSWELLBROOK,caltex muswellbrook,"42-50 Sydney St, MUSWELLBROOK NSW 2333",MUSWELLBROOK,2333,-32.268367,150.886748
NSW,1-2G595J6,BP Berowra,bp berowra,"111 Berowra Waters Rd, BEROWRA HEIGHTS NSW 2082",BEROWRA HEIGHTS,2082,-33.615454,151.141677
NSW,1-2G7V21L,Ampol Foodary Concord,ampol foodary concord,"87-89 Parramatta Rd, CONCORD NSW 2137",CONCORD,2137,-33.867895,151.099444
NSW,1-2GIS6FM,Bendy Kates,bendy kates,"2a Francis Hollis Dr, TATHRA NSW 2550",TATHRA,2550,-36.724103,149.977408
NSW,1-2GJ0WFI,BP Guildford,bp guildford,"257 Guildford Rd, GUILDFORD NSW 2161",GUILDFORD,2161,-33.85437,150.988836
NSW,1-2H8DCS6,Shell Wyong,shell wyong,"140 Pacific Hwy, WYONG NSW 2259",WYONG,2259,-33.2821101,151.4256232
NSW,1-2H8HZ06,Riverside Co,riverside co,"203 Charlotte Bay St, CHARLOTTE BAY NSW 2428",CHARLOTTE BAY,2428,-32.343233,152.51482
NSW,1-2H8K997,Greenwell Point Service Centre,greenwell point service centre,"85 Greenwell Point Rd, GREENWELL POINT NSW 2540",GREENWELL POINT,2540,-34.907742,150.731929
NSW,1-2H8L2AO,Ampol Bombala Depot,ampol bombala depot,"1 High Street, BOMBALA NSW 2632",BOMBALA,2632,-36.903943,149.2408217
NSW,1-2H8P33P,Ampol Goulburn Depot,ampol goulburn depot,"13 Sloane St, Goulburn NSW 2580",GOULBURN,2580,-34.77423,149.70893
NSW,1-2H8Q7AT,Ampol Bega Depot,ampol bega depot,"36 Lagoon Street, BEGA NSW 2550",BEGA,2550,-36.6685147,149.828596
NSW,1-2H8RJEA,Pearl Energy Greta,pearl energy greta,"122 High St, GRETA NSW 2334",GRETA,2334,-32.675933,151.387434
NSW,1-2H8STZU,BP Tenterfield,bp tenterfield,"69 Rouse St, TENTERFIELD NSW 2372",TENTERFIELD,2372,-29.064999,152.016886
