state,year,month,date,median_price_cents
NSW,2016,12,2016-12-15,126.66
NSW,2017,1,2017-01-15,132.57
NSW,2017,2,2017-02-15,131.90
NSW,2017,3,2017-03-15,123.88
NSW,2017,4,2017-04-15,128.15
NSW,2017,5,2017-05-15,126.51
NSW,2017,6,2017-06-15,123.40
NSW,2017,7,2017-07-15,118.77
NSW,2017,8,2017-08-15,121.92
NSW,2017,9,2017-09-15,127.11
NSW,2017,10,2017-10-15,131.55
NSW,2017,11,2017-11-15,135.88
NSW,2017,12,2017-12-15,137.23
NSW,2018,1,2018-01-15,137.40
NSW,2018,2,2018-02-15,136.72
NSW,2018,3,2018-03-15,135.86
NSW,2018,4,2018-04-15,143.37
NSW,2018,8,2018-08-15,147.84
NSW,2018,11,2018-11-15,143.47
NSW,2018,12,2018-12-15,132.86
NSW,2019,1,2019-01-15,128.52
NSW,2019,2,2019-02-15,130.46
NSW,2019,4,2019-04-15,144.47
NSW,2019,6,2019-06-15,141.90
NSW,2019,7,2019-07-15,141.90
NSW,2019,8,2019-08-15,141.75
NSW,2019,9,2019-09-15,146.92
NSW,2019,10,2019-10-15,150.40
NSW,2019,11,2019-11-15,148.03
NSW,2019,12,2019-12-15,148.07
NSW,2020,1,2020-01-15,146.58
NSW,2020,2,2020-02-15,144.21
NSW,2020,3,2020-03-15,133.91
NSW,2020,4,2020-04-15,107.67
NSW,2020,5,2020-05-15,108.65
NSW,2020,6,2020-06-15,118.58
NSW,2020,7,2020-07-15,119.90
NSW,2020,8,2020-08-15,118.00
NSW,2020,9,2020-09-15,118.91
NSW,2020,10,2020-10-15,121.06
NSW,2020,11,2020-11-15,120.79
NSW,2020,12,2020-12-15,123.57
NSW,2021,1,2021-01-15,123.70
NSW,2021,2,2021-02-15,129.44
NSW,2021,3,2021-03-15,137.71
NSW,2021,4,2021-04-15,141.94
NSW,2021,5,2021-05-15,142.90
NSW,2021,6,2021-06-15,143.90
NSW,2021,7,2021-07-15,150.90
NSW,2021,8,2021-08-15,153.07
NSW,2021,9,2021-09-15,153.90
NSW,2021,10,2021-10-15,162.61
NSW,2021,11,2021-11-15,166.19
NSW,2021,12,2021-12-15,164.90
NSW,2022,1,2022-01-15,170.23
NSW,2022,2,2022-02-15,179.68
NSW,2022,3,2022-03-15,191.82
NSW,2022,4,2022-04-15,182.36
NSW,2022,5,2022-05-15,192.59
NSW,2022,6,2022-06-15,206.49
NSW,2022,7,2022-07-15,196.51
NSW,2022,8,2022-08-15,175.50
NSW,2022,9,2022-09-15,170.04
NSW,2022,10,2022-10-15,182.67
NSW,2022,11,2022-11-15,191.25
NSW,2022,12,2022-12-15,179.90
NSW,2023,1,2023-01-15,178.90
NSW,2023,2,2023-02-15,187.50
NSW,2023,3,2023-03-15,184.08
NSW,2023,4,2023-04-15,188.90
NSW,2023,5,2023-05-15,177.65
NSW,2023,6,2023-06-15,182.23
NSW,2023,7,2023-07-15,186.12
NSW,2023,9,2023-09-15,207.57
NSW,2023,10,2023-10-15,199.70
NSW,2023,11,2023-11-15,198.00
NSW,2023,12,2023-12-15,191.82
NSW,2024,1,2024-01-15,188.00
NSW,2024,2,2024-02-15,198.39
NSW,2024,3,2024-03-15,200.15
NSW,2024,4,2024-04-15,206.84
NSW,2024,5,2024-05-15,194.90
NSW,2024,6,2024-06-15,196.57
NSW,2024,8,2024-08-15,186.30
NSW,2024,9,2024-09-15,177.02
NSW,2024,11,2024-11-15,181.28
NSW,2024,12,2024-12-15,185.98
NSW,2025,4,2025-04-15,176.90
NSW,2025,5,2025-05-15,174.90
NSW,2025,8,2025-08-15,178.07
NSW,2025,11,2025-11-15,182.65
NSW,2025,12,2025-12-15,180.57
NSW,2026,1,2026-01-15,173.13
QLD,2019,1,2019-01-15,123.70
QLD,2019,2,2019-02-15,128.05
QLD,2019,3,2019-03-15,136.85
QLD,2019,4,2019-04-15,144.89
QLD,2019,5,2019-05-15,147.30
QLD,2019,6,2019-06-15,141.04
QLD,2019,7,2019-07-15,139.36
QLD,2019,8,2019-08-15,138.59
QLD,2019,9,2019-09-15,146.50
QLD,2019,10,2019-10-15,151.90
QLD,2019,11,2019-11-15,146.49
QLD,2019,12,2019-12-15,149.21
QLD,2020,1,2020-01-15,146.19
QLD,2020,2,2020-02-15,142.59
QLD,2020,3,2020-03-15,127.66
QLD,2020,4,2020-04-15,101.22
QLD,2020,5,2020-05-15,106.94
QLD,2020,6,2020-06-15,118.84
QLD,2020,7,2020-07-15,122.28
QLD,2020,8,2020-08-15,123.94
QLD,2020,9,2020-09-15,120.00
QLD,2020,10,2020-10-15,123.52
QLD,2020,11,2020-11-15,121.62
QLD,2020,12,2020-12-15,123.04
QLD,2021,1,2021-01-15,127.82
QLD,2021,2,2021-02-15,132.02
QLD,2021,3,2021-03-15,137.80
QLD,2021,4,2021-04-15,140.90
QLD,2021,5,2021-05-15,141.55
QLD,2021,6,2021-06-15,146.64
QLD,2021,7,2021-07-15,150.22
QLD,2021,8,2021-08-15,152.98
QLD,2021,9,2021-09-15,157.08
QLD,2021,10,2021-10-15,161.81
QLD,2021,11,2021-11-15,169.51
QLD,2021,12,2021-12-15,159.85
QLD,2022,1,2022-01-15,169.86
QLD,2022,2,2022-02-15,177.76
QLD,2022,3,2022-03-15,196.02
QLD,2022,4,2022-04-15,173.01
QLD,2022,5,2022-05-15,192.26
QLD,2022,6,2022-06-15,202.94
QLD,2022,7,2022-07-15,188.14
QLD,2022,8,2022-08-15,172.86
QLD,2022,9,2022-09-15,168.60
QLD,2022,10,2022-10-15,178.42
QLD,2022,11,2022-11-15,189.17
QLD,2022,12,2022-12-15,172.84
QLD,2023,3,2023-03-15,174.90
QLD,2023,4,2023-04-15,192.70
QLD,2023,5,2023-05-15,179.37
QLD,2023,6,2023-06-15,181.90
QLD,2023,7,2023-07-15,186.18
QLD,2023,8,2023-08-15,202.71
QLD,2023,9,2023-09-15,205.68
QLD,2023,10,2023-10-15,205.50
QLD,2023,11,2023-11-15,194.91
QLD,2023,12,2023-12-15,183.79
QLD,2024,1,2024-01-15,190.65
QLD,2024,2,2024-02-15,191.30
QLD,2024,3,2024-03-15,204.82
QLD,2024,4,2024-04-15,210.19
QLD,2024,5,2024-05-15,195.14
QLD,2024,6,2024-06-15,198.01
QLD,2024,7,2024-07-15,191.96
QLD,2024,8,2024-08-15,186.48
QLD,2024,9,2024-09-15,175.11
QLD,2024,10,2024-10-15,178.54
QLD,2024,11,2024-11-15,179.40
QLD,2024,12,2024-12-15,185.01
QLD,2025,1,2025-01-15,181.93
QLD,2025,2,2025-02-15,191.19
QLD,2025,3,2025-03-15,186.17
QLD,2025,4,2025-04-15,172.33
QLD,2025,5,2025-05-15,176.16
QLD,2025,6,2025-06-15,173.90
QLD,2025,7,2025-07-15,178.27
QLD,2025,8,2025-08-15,180.65
QLD,2025,9,2025-09-15,180.34
QLD,2025,10,2025-10-15,178.98
QLD,2025,11,2025-11-15,181.93
QLD,2025,12,2025-12-15,178.26
WA,2018,1,2018-01-15,138.77
WA,2018,2,2018-02-15,138.38
WA,2018,3,2018-03-15,136.72
WA,2018,4,2018-04-15,139.63
WA,2018,5,2018-05-15,147.96
WA,2018,6,2018-06-15,149.34
WA,2018,7,2018-07-15,147.36
WA,2018,8,2018-08-15,145.40
WA,2018,9,2018-09-15,149.90
WA,2018,10,2018-10-15,158.55
WA,2018,11,2018-11-15,147.54
WA,2018,12,2018-12-15,131.58
WA,2019,1,2019-01-15,130.43
WA,2019,2,2019-02-15,132.38
WA,2019,3,2019-03-15,138.63
WA,2019,4,2019-04-15,146.55
WA,2019,5,2019-05-15,149.71
WA,2019,6,2019-06-15,139.96
WA,2019,7,2019-07-15,141.28
WA,2019,8,2019-08-15,140.86
WA,2019,9,2019-09-15,142.76
WA,2019,10,2019-10-15,147.39
WA,2019,11,2019-11-15,146.26
WA,2019,12,2019-12-15,146.30
WA,2020,1,2020-01-15,145.76
WA,2020,2,2020-02-15,138.80
WA,2020,3,2020-03-15,125.38
WA,2020,4,2020-04-15,102.68
WA,2020,5,2020-05-15,104.74
WA,2020,6,2020-06-15,115.73
WA,2020,7,2020-07-15,121.82
WA,2020,8,2020-08-15,118.72
